date,latitude,longitude,fire_occurred,acq_time,acq_timestamp,frp,confidence,daynight,type,source_file
2023-05-24,40.50144,17.2018,1,2354,2023-05-24 23:54:00,1.22,n,N,2,italy_viirs_snpp_2023.csv
2023-05-24,40.5071,17.20768,1,2354,2023-05-24 23:54:00,1.35,n,N,2,italy_viirs_snpp_2023.csv
2023-05-24,40.51295,17.20813,1,2354,2023-05-24 23:54:00,1.35,n,N,2,italy_viirs_snpp_2023.csv
2023-05-24,40.51354,17.19186,1,2354,2023-05-24 23:54:00,0.72,n,N,0,italy_viirs_snpp_2023.csv
2023-05-25,42.56905,12.67484,1,134,2023-05-25 01:34:00,1.15,n,N,2,italy_viirs_snpp_2023.csv
2023-05-25,42.57157,12.67633,1,134,2023-05-25 01:34:00,0.93,n,N,2,italy_viirs_snpp_2023.csv
2023-05-25,40.50729,17.20923,1,135,2023-05-25 01:35:00,1.73,n,N,3,italy_viirs_snpp_2023.csv
2023-05-25,40.62941,17.99944,1,135,2023-05-25 01:35:00,0.61,n,N,2,italy_viirs_snpp_2023.csv
2023-05-25,40.51947,17.20576,1,135,2023-05-25 01:35:00,1.5,n,N,2,italy_viirs_snpp_2023.csv
2023-05-25,40.51263,17.1894,1,135,2023-05-25 01:35:00,0.94,n,N,0,italy_viirs_snpp_2023.csv
2023-05-25,40.42147,16.81137,1,135,2023-05-25 01:35:00,0.66,n,N,0,italy_viirs_snpp_2023.csv
2023-05-25,40.50229,17.20693,1,135,2023-05-25 01:35:00,1.48,n,N,2,italy_viirs_snpp_2023.csv
2023-05-25,40.51157,17.19334,1,135,2023-05-25 01:35:00,0.96,n,N,0,italy_viirs_snpp_2023.csv
2023-05-25,39.07992,9.01753,1,136,2023-05-25 01:36:00,1.16,n,N,2,italy_viirs_snpp_2023.csv
2023-05-25,40.51341,17.19506,1,1117,2023-05-25 11:17:00,5.84,n,D,0,italy_viirs_snpp_2023.csv
2023-05-25,40.63674,17.95519,1,1117,2023-05-25 11:17:00,3.56,n,D,0,italy_viirs_snpp_2023.csv
